Tag,DeltaTime,STD
MySensor:1,0,8.273622142058818
MySensor:1,1,53.041513635146714
MySensor:1,2,4.90240352588268
MySensor:1,3,4.683069345464129
MySensor:1,4,4.882824885324951
MySensor:1,5,5.127494247782407
MySensor:1,6,4.7120954063341145
MySensor:1,7,4.615080636488227
MySensor:1,8,4.746629231008744
MySensor:1,9,4.755800843735761
MySensor:1,10,4.78039887137491
MySensor:1,11,4.691215299917842
MySensor:1,12,4.749893917373971
MySensor:1,13,4.899304727480745
MySensor:1,14,4.755244567010346
MySensor:1,15,4.656895789333098
MySensor:1,16,4.734168127968369
MySensor:1,17,4.8428219554482475
MySensor:1,18,4.84484335091502
MySensor:1,19,4.875960997981902
MySensor:1,20,4.807503481566891
MySensor:1,21,4.601001128317168
MySensor:1,22,4.757116262894569
MySensor:1,23,33.95513453660414
MySensor:1,24,4.640876008782058
MySensor:1,25,4.476487505541213
MySensor:1,26,15.611896762866827
MySensor:1,27,4.928679798271428
MySensor:1,28,4.5614037660964835
MySensor:1,29,4.8137663185620285
MySensor:1,30,4.736684445222324
MySensor:1,31,4.628493970841626
MySensor:1,32,4.723658829291771
MySensor:1,33,4.69448396730548
MySensor:1,34,4.973256739800302
MySensor:1,35,4.766573130492527
MySensor:1,36,4.8173030232893295
MySensor:1,37,4.640360982899761
MySensor:1,38,4.837197750237784
MySensor:1,39,4.863831082274159
MySensor:1,40,4.937365851238852
MySensor:1,41,4.637714547042133
MySensor:1,42,4.818179810791461
MySensor:1,43,4.8705606994668855
MySensor:1,44,4.6403596951098525
MySensor:1,45,4.466920748339335
MySensor:1,46,4.826102449648802
MySensor:1,47,4.682918484797746
MySensor:1,48,4.774658150490275
MySensor:1,49,4.605658121066545
MySensor:1,50,4.6140203417689145
MySensor:1,51,4.545043220182994
MySensor:1,52,4.636104446120633
MySensor:1,53,4.628902274986104
MySensor:1,54,4.8159175255878175
MySensor:1,55,4.835162990949034
MySensor:1,56,3.716834480313215
MySensor:1,57,7.105427357601002e-15
MySensor:1,58,7.105427357601002e-15
MySensor:1,59,7.105427357601002e-15
MySensor:1,60,7.105427357601002e-15
MySensor:1,61,7.105427357601002e-15
MySensor:1,62,7.105427357601002e-15
MySensor:1,63,7.105427357601002e-15
MySensor:1,64,7.105427357601002e-15
MySensor:1,65,7.105427357601002e-15
MySensor:1,66,7.105427357601002e-15
MySensor:1,67,7.105427357601002e-15
MySensor:1,68,7.105427357601002e-15
MySensor:1,69,7.105427357601002e-15
MySensor:1,70,7.105427357601002e-15
MySensor:1,71,7.105427357601002e-15
MySensor:1,72,7.105427357601002e-15
MySensor:1,73,7.105427357601002e-15
MySensor:1,74,7.105427357601002e-15
MySensor:1,75,7.105427357601002e-15
MySensor:1,76,7.105427357601002e-15
MySensor:1,77,7.105427357601002e-15
MySensor:1,78,7.105427357601002e-15
MySensor:1,79,7.105427357601002e-15
MySensor:1,80,7.105427357601002e-15
MySensor:1,81,7.105427357601002e-15
MySensor:1,82,7.105427357601002e-15
MySensor:1,83,7.105427357601002e-15
MySensor:1,84,7.105427357601002e-15
MySensor:1,85,7.105427357601002e-15
MySensor:1,86,7.105427357601002e-15
MySensor:1,87,7.105427357601002e-15
MySensor:1,88,7.105427357601002e-15
MySensor:1,89,7.105427357601002e-15
MySensor:1,90,7.105427357601002e-15
MySensor:1,91,7.105427357601002e-15
MySensor:1,92,7.105427357601002e-15
MySensor:1,93,7.105427357601002e-15
MySensor:1,94,7.105427357601002e-15
MySensor:1,95,7.105427357601002e-15
MySensor:1,96,7.105427357601002e-15
MySensor:1,97,7.105427357601002e-15
MySensor:1,98,7.105427357601002e-15
MySensor:1,99,7.105427357601002e-15
MySensor:1,100,7.105427357601002e-15
MySensor:1,101,7.105427357601002e-15
MySensor:1,102,7.105427357601002e-15
MySensor:1,103,7.105427357601002e-15
MySensor:1,104,7.105427357601002e-15
MySensor:1,105,7.105427357601002e-15
MySensor:1,106,7.105427357601002e-15
MySensor:1,107,7.105427357601002e-15
MySensor:1,108,7.105427357601002e-15
MySensor:1,109,7.105427357601002e-15
MySensor:1,110,7.105427357601002e-15
MySensor:1,111,7.105427357601002e-15
MySensor:1,112,7.105427357601002e-15
MySensor:1,113,7.105427357601002e-15
MySensor:1,114,7.105427357601002e-15
MySensor:1,115,7.105427357601002e-15
MySensor:1,116,7.105427357601002e-15
MySensor:1,117,7.105427357601002e-15
MySensor:1,118,7.105427357601002e-15
MySensor:1,119,7.105427357601002e-15
TestUnit:2,0,4.597869544789497
TestUnit:2,1,4.5186107225236
TestUnit:2,2,4.51221327692501
TestUnit:2,3,4.779258969269946
TestUnit:2,4,4.6684930031378675
TestUnit:2,5,4.810097179433503
TestUnit:2,6,4.69935443005059
TestUnit:2,7,4.6897803604537645
TestUnit:2,8,4.4708173827655475
TestUnit:2,9,34.03625607187086
TestUnit:2,10,4.772898342413537
TestUnit:2,11,4.538212615263291
TestUnit:2,12,4.751915426732293
TestUnit:2,13,4.616781352931858
TestUnit:2,14,4.577345041639724
TestUnit:2,15,4.5090881546833
TestUnit:2,16,4.660276155917597
TestUnit:2,17,4.783592662329901
TestUnit:2,18,4.648849294994348
TestUnit:2,19,4.827207237477701
TestUnit:2,20,4.814978821983508
TestUnit:2,21,61.536471373206055
TestUnit:2,22,28.088742043367457
TestUnit:2,23,4.871586520099623
TestUnit:2,24,4.593106725244148
TestUnit:2,25,4.639728340444621
TestUnit:2,26,4.6104416104302555
TestUnit:2,27,4.546361723608278
TestUnit:2,28,4.829104926327759
TestUnit:2,29,36.573378895043135
TestUnit:2,30,4.54077940609227
